"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"TP_SIGNAL_NAME";
"2";"";"DIODESOD-123";"SOD-123";"D1, D2";"Diode";"";"";
"2";"";"I2C_STANDARDI2C_SAO";"2X2";"JP2, JP3";"SparkFun has standardized on a pinout for all I2C based sensor breakouts.";"";"";
"1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"CN1";"JST 2-Pin Connectors of various flavors";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED3";"LED";"";"";
"1";"";"M03LOCK";"1X03_LOCK";"JP4";"Header 3";"";"";
"1";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1";"SPDT Switch";"";"";
"6";"100nF";"C-EUC0805";"C0805";"C5, C6, C7, C8, C9, C10";"CAPACITOR, European symbol";"";"";
"2";"1uF";"C-EUC0805";"C0805";"C3, C4";"CAPACITOR, European symbol";"";"";
"2";"2k2";"R-EU_R0603";"R0603";"R10, R11";"RESISTOR, European symbol";"";"";
"2";"4.7uF";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";"";
"2";"470";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";
"10";"4k7";"R-EU_R0603";"R0603";"R3, R4, R5, R6, R7, R8, R9, R12, R13, R14";"RESISTOR, European symbol";"";"";
"3";"ALI_AAA";"ALI_AAA";"BTR";"U$8, U$9, U$11";"";"";"";
"1";"AP2112KAP2112K";"AP2112KAP2112K";"AP2112";"U$3";"";"";"";
"2";"BC847";"BC847";"SOT23";"T1, T2";"NPN TRANSISTOR";"";"";
"1";"CC1101";"CC1101";"CC1101";"U$6";"";"";"";
"1";"CH340CCH340C";"CH340CCH340C";"SOIC16";"U$4";"";"";"";
"1";"ESP12F";"ESP12F";"ESP12PAD";"U$2";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U1";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"1";"OLED_I2C_VGCD";"OLED_I2C_VGCD";"OLED_1.3";"U$7";"";"";"";
"1";"PTCSMD-W";"PTCSMD-W";"PTC-1206-WIDE";"F1";"Resettable Fuse PTC";"";"";
"1";"SN74LV1T125";"SN74LV1T125";"SN74LV1T125DBVR";"U$5";"";"";"";
"1";"SWITCH-MOMENTARY-2SMD-12MM";"SWITCH-MOMENTARY-2SMD-12MM";"TACTILE-SMD-12MM";"S2";"Various NO switches- pushbuttons, reed, etc";"";"";
"2";"TPB1,27";"TPB1,27";"B1,27";"GDO0, GDO2";"Test pad";"";"";
"1";"USB_MICROB_PLUG-IDK";"USB_MICROB_PLUG-IDK";"USB-AB-MICRO-SMD_SLOT";"JP1";"USB Micro-B connectors";"";"";
"1";"WIRELESS-NRF24L01-1.27MM";"WIRELESS-NRF24L01-1.27MM";"WIRELESS-NRF24L01-1.27MM";"U$1";"";"";"";
"2";"WS2812B5050";"WS2812B5050";"WS2812B";"LED1, LED2";"";"";"";
